pair,entry_date,exit_date,direction,entry_zscore,exit_zscore,holding_period,gross_return,net_return,exit_reason,transaction_cost,segment,universe_mode,peer_group,hedge_mode,weight
HUM/CNC,2019-08-28,2019-09-25,long_spread,-2.911926107894442,0.5402649578947648,20,0.0011324328827964,-0.000861602285054,time_stop,0.002,8,stock_peer_groups,managed_care,kalman,0.2361180397093434
MU/ADI,2019-10-01,2019-10-03,long_spread,-2.7136083698881506,0.0658349433471127,3,0.0111024537041906,0.0100939137958795,time_stop,0.001,8,stock_peer_groups,semiconductors,kalman,0.1304843711226357
MA/AXP,2019-10-23,2019-11-19,long_spread,-3.40695762491248,0.9668742242349294,20,0.0374069259666209,0.0353403286409577,time_stop,0.002,9,stock_peer_groups,payments_credit,kalman,0.5
CRM/INTU,2019-10-25,2019-11-21,short_spread,2.236294199008958,-1.0409463420129572,20,-0.0336452143020672,-0.0355877670214546,time_stop,0.002,9,stock_peer_groups,enterprise_software,kalman,0.5
CRM/INTU,2019-12-05,2020-01-03,long_spread,-2.0002385324384604,1.317223579192171,20,0.0165744330659125,0.0145495901438512,time_stop,0.002,9,stock_peer_groups,enterprise_software,kalman,0.5
V/MA,2020-01-15,2020-02-12,short_spread,2.9934249049024486,-0.6443776272844278,20,0.0055400115147277,0.003524427004278,time_stop,0.002,10,stock_peer_groups,payments_credit,kalman,0.35
V/MA,2020-03-05,2020-04-01,short_spread,2.4651833883580143,1.018044407598556,20,0.0013986739803404,-0.0005995435505303,time_stop,0.002,10,stock_peer_groups,payments_credit,kalman,0.35
NOW/ADSK,2020-01-24,2020-01-31,long_spread,-2.4719402301979336,4.456094602476906,6,0.0555415003460213,0.0534260488127844,stop_loss,0.002,10,stock_peer_groups,enterprise_software,kalman,0.3
NOW/ADSK,2020-02-03,2020-03-02,short_spread,2.0391475854516945,-1.2418102271768026,20,0.0079440539358455,0.0059257210473364,time_stop,0.002,10,stock_peer_groups,enterprise_software,kalman,0.3
NOW/ADSK,2020-03-17,2020-04-03,long_spread,-2.5842240408703114,-1.7957149257124176,14,-0.0110887981217817,-0.0120505430047428,time_stop,0.001,10,stock_peer_groups,enterprise_software,kalman,0.3
UNP/CSX,2020-01-08,2020-02-05,long_spread,-2.0393500406282645,0.4525378842133547,20,-0.0093978743493087,-0.0113739903905002,time_stop,0.002,10,stock_peer_groups,railroads,kalman,0.35
UNP/CSX,2020-02-26,2020-02-27,long_spread,-2.168596705933589,-3.553095809065573,2,-0.0161649010236489,-0.0181477361226253,stop_loss,0.002,10,stock_peer_groups,railroads,kalman,0.35
UNP/CSX,2020-02-28,2020-03-19,long_spread,-2.5991649497729497,-4.158495499612685,15,-0.0421916186061023,-0.0440956920266633,stop_loss,0.002,10,stock_peer_groups,railroads,kalman,0.35
UNP/CSX,2020-03-20,2020-04-03,long_spread,-2.6630238512452893,0.1040997944670063,11,0.0620257342434935,0.0609855998055686,time_stop,0.001,10,stock_peer_groups,railroads,kalman,0.35
UNH/CNC,2020-06-12,2020-07-06,long_spread,-2.0057881408736744,-0.0921286460379444,16,-0.003410592400821,-0.0044160719067423,time_stop,0.001,11,stock_peer_groups,managed_care,kalman,0.2555340310638121
ADBE/INTU,2020-06-15,2020-07-06,short_spread,2.760544214012572,-0.2663662525706926,15,-0.0170764923649243,-0.0180487020121645,time_stop,0.001,11,stock_peer_groups,enterprise_software,kalman,0.2254696083357151
EEM/IEMG,2020-05-19,2020-06-16,short_spread,2.1432327884397315,0.1213970408589661,20,0.0016260219467436,-0.0003761519708059,time_stop,0.002,11,etf_peer_groups,emerging_markets,kalman,0.35
MRK/ABBV,2020-06-12,2020-07-06,long_spread,-2.0044887616211344,1.115851802745765,16,0.0094962476675348,0.008481879448785,time_stop,0.001,11,stock_peer_groups,large_pharma,kalman,0.1689963606004727
MCHP/NXPI,2020-08-06,2020-09-02,long_spread,-3.315025491751498,0.8103623553393882,20,0.0466012991771902,0.0445031606127941,time_stop,0.002,12,stock_peer_groups,semiconductors,kalman,0.1631383796095825
